business_id,stars,review_count,parking_availability_score,enhanced_parking_score,has_parking,price_range,total_reviews,avg_review_stars,review_engagement,rating_consistency,is_restaurant,parking_mentions,parking_positive_sentiment,parking_negative_sentiment,free_parking_mentions,valet_mentions,has_good_parking,is_highly_rated,split
71U7MxQEhwitJOm4CQpRwQ,4.0,325,2,2.5,1,2.0,345,3.881159420289855,1.4405797101449276,1.6666666666666667,1,14,0,0,0,0,0,0,prod
qEzhExWx4nogW_0B5JfUCw,3.5,99,2,2.5,1,1.0,104,3.5673076923076925,1.1538461538461535,1.6666666666666667,1,18,0,0,0,0,0,0,prod
z0SRVH4OpDQxgf2-m_wcZg,3.5,68,2,2.5,1,1.0,71,3.436619718309859,1.5211267605633805,1.6666666666666667,1,14,0,0,0,0,0,0,train
dUctvEfHQccW_uxtRup2QQ,3.0,212,2,2.5,1,2.0,217,3.2350230414746544,1.055299539170507,1.6666666666666667,1,28,0,0,0,0,0,0,val
N6VbRekOBjRfru_Ci1AFnQ,4.0,20,1,1.0,1,1.0,21,3.952380952380953,1.1428571428571428,1.6666666666666667,1,2,0,0,0,0,0,0,train
56X2VNNLIi4aopkIncSNvg,4.5,15,1,1.0,1,,15,4.733333333333333,0.7333333333333333,1.6666666666666667,1,0,0,0,0,0,0,1,train
M6ZoEY54OKKPq9O9Boee7g,3.5,351,1,1.5,1,2.0,368,3.7364130434782608,3.720108695652174,1.6666666666666667,1,7,0,0,0,0,0,0,prod
BiSdlIuOlf6MqyEZ6aWhfQ,3.5,301,5,5.0,1,2.0,304,3.638157894736842,0.8125,1.6666666666666667,1,11,0,0,0,0,1,0,train
DMxgL0TdpR9HCD4P1CdxdQ,3.0,144,2,3.0,1,1.0,151,3.0397350993377485,1.0529801324503312,1.6666666666666667,1,10,1,0,0,0,1,0,test
UnUUSoiBSP1IGa-IdgehYQ,3.5,80,2,3.0,1,2.0,80,3.675,1.1625,1.6666666666666667,1,18,1,0,0,0,1,0,train
1S8IRBk4uIhm_KZri7VTqA,3.5,38,3,3.5,1,,40,3.7,2.025,1.6666666666666667,1,14,0,0,0,0,1,0,train
XokXeGm3Jy-ksFlD7fAjCA,2.5,40,2,3.0,1,2.0,42,2.642857142857143,0.9523809523809524,1.6666666666666667,1,2,1,0,0,0,1,0,prod
8kUh6TROemLfbVR_ewVVLg,4.0,738,3,5.0,1,2.0,771,3.9312581063553824,1.7250324254215306,1.6666666666666667,1,46,2,0,1,0,1,0,train
4VXVP21v4Xec6C2mnnBnGw,4.0,597,3,4.0,1,2.0,646,3.811145510835914,1.8839009287925697,1.6666666666666667,1,18,2,0,0,0,1,0,prod
pFBTtrFfJbJY1YTJu1hxAw,4.0,35,2,2.0,1,1.0,38,3.9210526315789473,2.210526315789474,1.6666666666666667,1,1,0,0,0,0,0,0,val
UV3QgpYgHO0GGTYPPr4v3g,4.0,353,3,2.0,1,1.0,356,3.7780898876404496,1.1292134831460674,1.6666666666666667,1,28,0,1,0,0,0,0,train
z_nuzYCFJbfQ83eozdBMnA,3.5,98,1,2.0,1,2.0,104,3.7788461538461537,2.894230769230769,1.6666666666666667,1,17,1,0,0,0,0,0,train
X0-7FX1V7JYXpAknL1y-5w,3.5,41,2,2.5,1,2.0,43,3.488372093023256,2.069767441860465,1.6666666666666667,1,13,0,0,0,0,0,0,prod
Ql5icyL9DGN9qn1-tUaN-g,3.5,231,4,5.0,1,2.0,236,3.2838983050847457,1.5720338983050848,1.6666666666666667,1,76,2,0,1,27,1,0,test
Si8GQOgALsPdZiudT6WszQ,2.5,18,2,2.0,1,1.0,20,2.45,0.6,1.6666666666666667,1,4,0,0,0,0,0,0,val
hrY1cmSRWRSQ05tzlFwPmA,3.0,13,2,2.0,1,2.0,15,3.333333333333333,2.6,1.6666666666666667,1,0,0,0,0,0,0,0,test
P3jyuANUyuwc9P1w6J_IKQ,3.5,90,1,1.5,1,2.0,97,3.6288659793814433,1.0824742268041236,1.6666666666666667,1,9,0,0,0,0,0,0,train
IZMHmGH1NbULyreLPx3t9A,3.5,56,2,4.0,1,2.0,58,3.603448275862069,0.8103448275862069,1.6666666666666667,1,13,1,0,1,0,1,0,train
7gcwopSaFng9Rx-jRhfmuQ,4.5,42,2,2.0,1,,43,4.72093023255814,2.9069767441860463,1.6666666666666667,1,4,0,0,0,0,0,1,prod
yxXC3ygX6cfW9GgP-CaKQg,4.5,34,2,2.5,1,,34,4.735294117647059,2.8529411764705883,1.6666666666666667,1,14,0,0,0,0,0,1,train
2r815sne-IwK1AqSPTCsLA,3.5,28,2,2.0,1,2.0,28,3.642857142857143,1.8571428571428568,1.6666666666666667,1,5,0,0,0,0,0,0,train
X5_ZA1_mLU1SMcREVGTMMA,3.5,18,2,2.0,1,1.0,21,3.523809523809524,0.3333333333333333,1.6666666666666667,1,1,0,0,0,0,0,0,prod
4vak1jxwM6dQ-pNQQ5U8Vw,4.0,326,2,2.5,1,2.0,337,3.833827893175074,1.4955489614243322,1.6666666666666667,1,14,0,0,0,0,0,0,train
K6SQfxBapNAIVr_C73ohlw,4.0,260,2,2.5,1,2.0,269,4.148698884758364,1.4609665427509293,1.6666666666666667,1,10,0,0,0,0,0,1,train
beZDxtr75KdlsQm4_kezng,4.5,42,2,2.0,1,1.0,43,4.3023255813953485,2.558139534883721,1.6666666666666667,1,2,0,0,0,0,0,1,prod
XXSRQj02oCBr0w2xMOftLw,4.0,98,3,4.0,1,1.0,100,3.89,0.69,1.6666666666666667,1,37,1,1,1,0,1,0,prod
f44pSEoqD2vgoOpnp5jUZw,3.0,89,2,2.5,1,2.0,94,3.234042553191489,2.24468085106383,1.6666666666666667,1,18,0,0,0,0,0,0,prod
M4kHDHNzftSUtgpgyLlZ8w,3.5,68,2,2.0,1,1.0,73,3.5616438356164384,1.4931506849315068,1.6666666666666667,1,2,0,0,0,0,0,0,prod
SrZubySrYelS0mkkOo4ZXQ,4.0,16,2,2.0,1,1.0,16,4.0625,2.3125,1.6666666666666667,1,0,0,0,0,0,0,1,val
tUDZnYQe7aD2VU3Syia_RQ,3.5,45,2,2.0,1,2.0,47,3.6808510638297873,1.9574468085106385,1.6666666666666667,1,3,0,0,0,0,0,0,train
5Qz7TJFXhm8Mjc8xzoSV5Q,3.5,236,3,5.0,1,2.0,249,3.642570281124498,2.819277108433735,1.6666666666666667,1,25,1,0,1,1,1,0,train
sKDqswbR_bwxLueSOHqqNA,4.5,174,2,2.0,1,2.0,181,4.30939226519337,1.3756906077348066,1.6666666666666667,1,4,0,0,0,0,0,1,prod
