business_id,stars,review_count,parking_availability_score,enhanced_parking_score,has_parking,price_range,total_reviews,avg_review_stars,review_engagement,rating_consistency,is_restaurant,parking_mentions,parking_positive_sentiment,parking_negative_sentiment,free_parking_mentions,valet_mentions,has_good_parking,is_highly_rated
nzMsAREnsFlsCHsBUwL2SQ,4.0,202,1,1.5,1,2.0,206,3.844660194174757,2.058252427184466,1.6666666666666667,1,13,0,0,0,0,0,0
6hBy3r_MQTIf29DfM2y8_Q,4.0,154,2,2.5,1,2.0,161,4.062111801242236,1.3788819875776397,1.6666666666666667,1,18,0,0,0,0,0,1
Prr36YIqVmfX-zViWcrceQ,2.0,25,2,2.0,1,1.0,26,1.8846153846153848,0.5769230769230769,1.6666666666666667,1,1,0,0,0,0,0,0
3BJxm-HnvzdwD1zjmSbmyQ,3.0,137,1,1.5,1,1.0,147,3.054421768707483,1.7006802721088434,1.6666666666666667,1,12,0,0,0,0,0,0
SeneXbKmhHhPtzyTDPDnvA,4.0,135,1,1.5,1,1.0,136,3.897058823529412,1.2647058823529411,1.6666666666666667,1,9,0,0,0,0,0,0
VeQDoCQmur6VG8TMvyzYUQ,4.0,20,2,1.0,1,,21,3.809523809523809,2.619047619047619,1.6666666666666667,1,8,0,1,0,0,0,0
Ee0DwQtmCxhcwSFvX1Gl6g,3.0,122,2,2.5,1,2.0,125,2.776,0.904,1.6666666666666667,1,12,0,0,0,0,0,0
ZgsIctKamHA8z3KTbTYOoQ,2.0,13,2,2.0,1,1.0,13,2.230769230769231,0.7692307692307693,1.6666666666666667,1,4,0,0,0,0,0,0
JPm93BlP-UHYPqFgK66JUw,4.5,70,1,1.0,1,1.0,73,4.424657534246576,1.2876712328767124,1.6666666666666667,1,3,0,0,0,0,0,1
emKtu_pZ-Oij9dXra8tXYg,4.0,447,1,1.5,1,2.0,459,3.867102396514161,2.374727668845316,1.6666666666666667,1,16,0,0,0,0,0,0
qwoqt5912WOdHHOtoMUF1A,4.5,15,1,2.0,1,,15,4.533333333333333,0.2666666666666666,1.6666666666666667,1,3,1,0,0,0,0,1
xmx1O-OBzSgPDpoMXYVcmQ,4.0,30,2,2.5,1,,30,4.1,2.066666666666667,1.6666666666666667,1,10,0,0,0,0,0,1
rrz3ooqpZO8dcArFPIZE9Q,3.5,50,1,3.0,1,1.0,55,3.690909090909091,1.709090909090909,1.6666666666666667,1,12,2,0,2,0,1,0
U0Bcuv9Gbp0ozFSDntgyvg,3.0,41,2,2.0,1,1.0,42,2.857142857142857,1.2857142857142858,1.6666666666666667,1,5,0,0,0,0,0,0
caMiK8Cu3BqixHSGzhJbEg,2.0,15,2,2.0,1,1.0,16,1.75,1.75,1.6666666666666667,1,5,0,0,0,0,0,0
